audio,text,source
00000001.wav,"Ví dụ trong đầu tư chứng khoán cũng thế Có rất nhiều người khi mà thắng thì họ sẽ tự nhủ rằng Đó là chúng ta đã có kỹ năng tốt Chúng ta phân tích giỏi, chúng ta biết là doanh nghiệp này Kiểu gì nó cũng sẽ lên cái thời điểm đấy Nhưng thực ra rất là nhiều phần trăm trong đó nó là may mắn Nó hoàn toàn được định đoạt bởi may mắn mà thôi Và rất nhiều những cái cổ phiếu nó đổi màu tím trong ngày chẳng hạn Nó có thể hoàn toàn không đến một chút nào từ cái việc làm ăn của họ Mà hoàn toàn nó đến từ những cái tin tức ở đầu ở đâu Hoặc là do bị lèo lái ở trên thị trường Nếu đấy là những cổ phiếu nhỏ hoặc là những thị trường nhỏ Đúng không?",0
00000002.wav,"Mà nó không chỉ đối với cá nhân Mà đối với cả doanh nghiệp nữa Khi mà doanh nghiệp không biết được rằng là Cái doanh thu của mình Trong cái quý vừa rồi, trong tháng Hay là kể cả trong tuần vừa rồi đi Nó tăng lên một cách đột biến Nó đến từ đâu ấy Thì có thể họ đang bị phân bổ Cái nguồn lực sau đó để đẩy cái phần đấy Nó bị sai mục đích Và có thể nó sẽ khiến cho là doanh nghiệp Sẽ tốn nhiều nguồn lực cho một cái Mà nó không tạo ra kết quả gì Và có thể sau đấy Nó sẽ bị ăn vào cái phần chi phí Và đẩy cho lợi nhuận doanh nghiệp ấy đi xuống hơn Đúng không?",0
00000003.wav,Rồi phần tiếp theo The Law of Small Numbers Quy luật số nhỏ Bây giờ mình thử hỏi các bạn một cái bài toán như thế này Ở một cái thị trấn nọ Có hai bệnh viện phụ sản Bệnh viện phụ sản 1 Lớn hơn bệnh viện phụ sản 2 Bệnh viện phụ sản 1 thì một ngày Sẽ thường là đỡ đẻ khoảng 45 bé Bệnh viện phụ sản 2 thường một ngày đỡ đẻ 15 bé Tỷ lệ sinh ra bé trai Nó là 50 % Người ta vẫn thường hay biết đúng không?,0
00000004.wav,"Nếu chúng ta nhìn dài hạn Nó sẽ luôn là 50 % Năm bé trai, 50 % Bé gái Tuy nhiên Nếu chúng ta chỉ nhìn trong một ngày thôi Thì có những ngày mà tỷ lệ sinh ra bé trai Nó sẽ nhiều hơn Hoặc là ít hơn 50 % Đúng không? Và hai bệnh viện này đều ghi nhận lại Những cái ngày trong năm Mà có tỷ lệ sinh ra bé trai Nó là trên 60 % Cho hỏi Số ngày sinh ra bé trai là trên 60 % Ở bệnh viện nào nhiều hơn?",0
00000005.wav,Đảm bản 1 Bệnh viện lớn Đảm bản 2 Bệnh viện nhỏ Hay đảm bản thứ 3 Đó là tỷ lệ nó là ngang nhau Nghĩa là Nó chỉ hơn cái nhau của 5 % thôi Và số ngày sinh ra nhiều hơn 60 % Ở hai bệnh viện nó cũng xem xem nhau Khi hỏi câu hỏi này Thì rất nhiều người đã chọn phương án thứ 3 Các bạn đều cho rằng là Nó là sắc xuất Nó là trên 60 % Thì hai tỷ lệ sinh ra bé trai Cả hai bệnh viện nó đều phải như nhau Đúng không?,0
00000006.wav,Mà có chỉ hơn nhau Còn 5 % là cùng Nhưng mà Thực ra đấy là một đảm bản sai Đảm bản đúng Nó là ở bệnh viện nhỏ Cái lý do rất là đơn giản Đó là bệnh viện càng nhỏ Thì tỷ lệ sai số Tỷ lệ tranh lệch Nó càng lớn Thế thôi Để mà dễ hình dung Thì các bạn hãy tưởng tượng Một cái bệnh viện nhỏ hơn nữa Chỉ có mỗi ngày đỡ đẻ của 4 bé thôi Thì rõ ràng là ngày hôm đó Mà đỡ đẻ 2 bé trai 2 bé gái Thì tỷ lệ sinh ra bé trai Là 50 % Nhưng cái ngày tiếp theo Mà đỡ đẻ 3 bé trai 1 bé gái Thì tỷ lệ sinh ra bé trai Đã là 75 % rồi Đúng không?,0
00000007.wav,Bởi vì rõ ràng Những cái video mang tính tai nạn Thì nó có mang tính giật gân hơn Họ sẽ kiếm được nhiều like Nhiều share hơn Là video một ông quá béo Và cứ ngồi như thế Và chết Đúng không?,0
00000008.wav,Câu hết câu trả lời của mọi người khi được khảo sát Mọi người cho rằng đáp án là 80 % Mọi người tin lời nhân chứng nói Và khi người nhân chứng đó nói đúng 80 % số lần Và người đó nhìn thấy màu đỏ Thì đáp án xe đỏ là 80 % đơn giản thế thôi đúng không?,0
00000009.wav,Nhưng thực ra chúng ta đã hoàn toàn bỏ qua Cái thông tin cơ sở Đó là cái thành phố đó chỉ có 15 % số lượng xe là màu đỏ thôi Đáp án đúng của câu hỏi này là 41 % Dựa trên định lý base Mình có thể để cái công thức đấy Ở xung quanh đây cho các bạn nhìn Và chắc hẳn là những bạn nào đã học qua sát xuất thống kê Cũng đã từng nhìn thấy cái định lý này ít nhất một lần đúng không?,0
00000010.wav,"Mình sẽ để đáp án của bài toán này Mình lấy được trên mạng ở xung quanh đây Và đối với bản thân mình, mình đọc đáp án này mình cũng thấy rất là khó hiểu Thành ra là mình đã tự làm lại bài toán này Mà một cách dễ hiểu hơn và mình cũng sẽ để nó ở đây Để các bạn có thể tự tham khảo và dừng lại cái video này Và thực ra nếu mà cái lượng xe xanh và đỏ Của thành phố đó được phân bổ là 50 -50 Thì cái đáp án chính xác của bài toán đấy Chính là 80 % đúng không?",0
